date,Bus,Rail
2024-02-13,235290.0,804350.0
2024-02-14,244100.0,858240.0
2024-02-15,244988.0,862601.0
2024-02-16,250307.0,841963.0
2024-02-17,185384.0,590291.0
2024-02-18,182996.0,538151.0
2024-02-19,255349.0,919064.0
2024-02-20,257514.0,959548.0
2024-02-21,261661.0,978164.0
2024-02-22,256253.0,972554.0
2024-02-23,257031.0,965785.0
2024-02-24,201086.0,723646.0
2024-02-25,191021.0,621266.0
2024-02-26,256247.0,942744.0
2024-02-27,261039.0,978973.0
2024-02-28,264061.0,999341.0
2024-02-29,260707.0,1001146.0
2024-03-01,262060.0,1000342.0
2024-03-02,210485.0,731210.0
2024-03-03,209126.0,670950.0
2024-03-04,264860.0,971877.0
2024-03-05,269853.0,1017509.0
2024-03-06,271669.0,1042259.0
2024-03-07,272562.0,1027759.0
2024-03-08,275271.0,1024296.0
2024-03-09,214279.0,732110.0
2024-03-10,219354.0,660193.0
2024-03-11,287935.0,986790.0
2024-03-12,267772.0,936552.0
2024-03-13,270853.0,961453.0
2024-03-14,268333.0,963706.0
2024-03-15,263882.0,949638.0
2024-03-16,185166.0,569342.0
2024-03-17,179790.0,508140.0
2024-03-18,268282.0,935826.0
2024-03-19,266794.0,956516.0
2024-03-20,270175.0,965397.0
2024-03-21,267123.0,958521.0
2024-03-22,271012.0,974555.0
2024-03-23,191517.0,605159.0
2024-03-24,186049.0,526791.0
2024-03-25,261879.0,937548.0
2024-03-26,265160.0,976266.0
2024-03-27,270287.0,1002404.0
2024-03-28,173716.0,590706.0
2024-03-29,250398.0,909229.0
