origin,destination,total_ridership,origin_label,destination_label,log_ridership
KG06: Kota Damansara,KJ17: Abdullah Hukum,6394,Kota Damansara,Abdullah Hukum,3.8057726319356693
KG06: Kota Damansara,KJ18: Kerinchi,3570,Kota Damansara,Kerinchi,3.552668216112193
KG06: Kota Damansara,KJ19: Universiti,1740,Kota Damansara,Universiti,3.2405492482826
KG06: Kota Damansara,KJ21: Asia Jaya,1164,Kota Damansara,Asia Jaya,3.06595298031387
KG06: Kota Damansara,KJ28: Subang Jaya,762,Kota Damansara,Subang Jaya,2.8819549713396007
KG06: Kota Damansara,MR01: KL Sentral,9,Kota Damansara,KL Sentral,0.9542425094393249
KG06: Kota Damansara,MR04: Hang Tuah,1378,Kota Damansara,Hang Tuah,3.139249217571607
KG06: Kota Damansara,MR05: Imbi,46,Kota Damansara,Imbi,1.662757831681574
KG06: Kota Damansara,MR06: Bukit Bintang,15,Kota Damansara,Bukit Bintang,1.1760912590556813
KG06: Kota Damansara,SP15: Bandar Tasik Selatan,1982,Kota Damansara,Bandar Tasik Selatan,3.2971036501492565
KG07: Surian,AG04: PWTC,1446,Surian,PWTC,3.160168292958512
KG07: Surian,AG06: Bandaraya,2130,Surian,Bandaraya,3.3283796034387376
KG07: Surian,AG07: Masjid Jamek,2605,Surian,Masjid Jamek,3.4158077276355434
KG07: Surian,AG10: Pudu,2223,Surian,Pudu,3.3469394626989906
KG07: Surian,AG18: Ampang,2423,Surian,Ampang,3.384353414137506
KG07: Surian,KG06: Kota Damansara,122952,Surian,Kota Damansara,5.089735597587947
KG07: Surian,KG08: Mutiara Damansara,62890,Surian,Mutiara Damansara,4.798581594728548
KG07: Surian,KG09: Bandar Utama,106231,Surian,Bandar Utama,5.02625126970556
KG07: Surian,KG10: TTDI,32479,Surian,TTDI,4.51160264922777
KG07: Surian,KG13: Pusat Bandar Damansara,20695,Surian,Pusat Bandar Damansara,4.315865430736779
KG07: Surian,KG14: Semantan,14802,Surian,Semantan,4.17032039987338
KG07: Surian,KG15: Muzium Negara,42174,Surian,Muzium Negara,4.625044793700269
KG07: Surian,KG16: Pasar Seni,12697,Surian,Pasar Seni,4.103701119589514
KG07: Surian,KG18: Bukit Bintang,50923,Surian,Bukit Bintang,4.706913981098407
KG07: Surian,KG20: Tun Razak Exchange,26090,Surian,Tun Razak Exchange,4.416474079100221
KG07: Surian,KG21: Cochrane,9080,Surian,Cochrane,3.958085848521085
KG07: Surian,KG22: Maluri,16279,Surian,Maluri,4.2116277231686166
KG07: Surian,KG25: Taman Mutiara,8171,Surian,Taman Mutiara,3.9122752104988123
KG07: Surian,KG26: Taman Connaught,6092,Surian,Taman Connaught,3.784759894664005
KG07: Surian,KG35: Kajang,9378,Surian,Kajang,3.9721102284028307
KG07: Surian,KJ02: Taman Melati,2234,Surian,Taman Melati,3.34908316877959
KG07: Surian,KJ03: Wangsa Maju,4673,Surian,Wangsa Maju,3.6695957810243134
KG07: Surian,KJ04: Sri Rampai,2202,Surian,Sri Rampai,3.342817314635733
KG07: Surian,KJ09: Ampang Park,1736,Surian,Ampang Park,3.239549720840473
KG07: Surian,KJ10: KLCC,11203,Surian,KLCC,4.049334335972284
